,cause,cluster,dist,frequency,beta,p_value,tsne_x,tsne_y,"type: sci, news, expanded",new cluster after granger test
181,raised,0,3.3494599999999997,555602,-3.7019,0.1343091074,29.15908051,28.43542862,news,
182,developing,3,3.7234599999999998,327783,0.5065,0.1347292705,21.03621292,8.434720039,expanded,
183,gain,0,3.45672,3575041,0.004,0.13564747929999998,29.15535164,51.34579086,news,
184,difficult,3,3.38924,720509,-2.7493,0.1357624044,33.2389679,18.70101929,news,
185,moreover,3,3.48593,106445,-1.1528,0.135983779,25.34211349,15.71469116,news,
186,result,3,3.54849,1521604,1.6217,0.1369839193,6.922175407,5.017107964,news,
187,reflecting,0,3.42655,49335,-2.1603,0.13838251769999999,24.61365891,39.10206223,expanded,
188,susceptible,2,3.7103699999999997,21919,-4.4855,0.1389327226,-42.71713257,18.44255638,news,
189,closely,3,3.60756,227064,1.7899,0.1389529704,25.90362167,13.28375053,news,
190,way,3,3.8288300000000004,3389462,-1.8102,0.1399646223,37.19776535,17.38497162,expanded,
191,surged,0,3.6371599999999997,33680,2.2528,0.1401252179,19.31232834,63.87673187,sci,
192,falling,0,2.9647799999999997,159077,-1.4821,0.1407711147,20.34268188,59.66636658,expanded,
193,figures,0,3.80919,321801,1.2503,0.14086934269999998,25.56389236,26.08096695,news,
194,meant,3,3.5346699999999998,392843,2.4098,0.1409982072,36.77822113,13.84483433,expanded,
195,slowdown,0,3.6057300000000003,27507,-1.7473,0.1410021138,0.8917119503000001,45.81204987,news,
196,decline,0,2.6095200000000003,443141,-3.9575,0.1411071961,16.63118362,51.72351837,news,
197,approaches,3,3.26665,68721,2.2036,0.1411614118,18.03884888,11.35733509,news,
198,interest,0,3.07498,1322541,1.3487,0.1423902709,33.803779600000006,47.26636124,expanded,
199,growth,0,3.7633900000000002,660111,-3.7193,0.143488693,6.63676548,48.69841003,expanded,
200,costs,0,3.4750900000000002,329840,-2.6697,0.1438494802,38.29004288,46.6336174,news,
201,suggest,3,3.3245,652485,-3.1951,0.1440123821,26.48918724,14.76932144,news,
202,low,0,3.2259900000000004,4284077,-0.2159,0.144940392,11.05531406,56.74480057,expanded,
203,slowing,0,3.6097900000000003,29586,-0.8982,0.1457036206,1.226216435,42.90489960000001,expanded,
204,kind,3,3.9262599999999996,648502,2.6148,0.1457984425,34.32760239,15.98913288,news,
205,bringing,3,3.8122199999999995,342484,-2.8188,0.14691235560000002,35.42008591,-1.157926917,expanded,
206,inflation,0,3.7320699999999998,176593,-2.9185,0.14698042779999998,6.869358063,53.88213348,news,
207,steady,0,3.3076800000000004,105349,3.5103,0.1473539649,25.55005836,47.11662292,news,
208,drop,0,2.35279,552423,-3.9918,0.1475627934,23.71806335,57.27845764,expanded,
209,domestic,0,3.5553199999999996,410018,2.7275,0.1476298846,17.67138481,32.83519363,news,
210,boosted,0,3.4077300000000004,53682,-0.4703,0.1480541746,24.92199326,50.25001144,news,
211,dramatically,0,3.73015,59569,4.3577,0.1482431923,5.983754635,36.2687912,news,
212,spurred,0,3.82853,21677,-2.4217,0.1484325491,19.62863159,40.07927322,news,
213,fell,0,3.4799800000000003,660068,-4.9147,0.1490369965,21.77971458,63.94200516,expanded,
214,strife,4,3.14845,41004,3.7037,0.1490706376,22.95971489,-39.56662369,news,
215,shift,3,3.3353599999999997,273710,-0.7977,0.1490961456,17.904718399999997,16.3742466,expanded,
216,partly,0,3.54581,109619,0.502,0.1501481575,23.93248367,22.80755806,news,
217,better,3,3.7229099999999997,982333,4.9259,0.1507309506,41.57313538,16.38536835,news,
218,extreme,3,3.8294,295501,0.8909,0.1510863179,-0.34782579539999997,-1.301192284,news,
219,ongoing,4,3.5131900000000003,409429,-4.5184,0.1513864177,22.02127838,-5.3085660930000005,news,
220,tension,4,3.6495800000000003,413205,2.5545,0.1517585631,13.82264805,-35.36837387,news,
221,should,3,3.6809,2486074,3.4221,0.1519791183,41.62866211,19.02116966,expanded,
222,dollar,0,3.6266800000000003,573407,-2.6107,0.15210433310000002,26.465375899999998,61.79639816,news,
223,escalated,4,3.8509800000000003,39242,-1.4738,0.1525302188,14.25875378,-40.55234528,expanded,
224,environment,3,3.1449,683162,-0.125,0.1531538443,8.716381072999999,14.84689426,expanded,
225,stock,0,3.26368,609739,-2.1342,0.15324622699999998,30.08605766,64.61195374,news,
226,concern,3,3.58273,1188591,0.5775,0.1534876627,18.18764687,-7.9705019,sci,
227,civil,4,3.98401,1504305,-2.0386,0.1538193505,46.09233093,-13.3906641,news,
228,step,3,3.4889300000000003,1058116,4.9403,0.154024717,38.13319016,12.47029114,expanded,
229,value,0,3.35115,970003,-4.73,0.1542778927,32.29159546,50.24271774,news,
230,focus,3,2.9985,855131,-3.948,0.1546700658,22.12810516,9.084807396,news,
231,critical,3,3.406,504092,2.0853,0.1563138323,23.00238419,11.56808281,expanded,
232,offset,0,3.15334,48620,-0.0102,0.1569797731,22.47277641,50.93460846,sci,
233,fixed,0,3.84826,143803,-0.0056,0.1577306977,16.32526016,36.25421524,news,
234,reversing,0,3.95033,25334,-3.155,0.1579751049,2.889041185,36.77976608,news,
235,fact,3,3.6039,1860043,4.6631,0.15807872,31.16994667,17.83616257,expanded,
236,year,0,3.72641,4844797,1.7589,0.15899245380000002,30.60865784,33.23155594,news,
237,concerns,3,3.53533,390180,1.4422,0.1592090635,18.17427444,-7.499086857000001,news,
238,homeland,4,4.02305,114832,1.7583,0.1598947071,42.66696167,-16.84151649,expanded,
239,volume,0,3.76785,309367,-3.7534,0.1602072167,31.04994392,49.14270782,news,
240,need,3,3.7814099999999997,2499815,3.3141,0.1606460685,42.99639893,16.44955635,sci,
241,excluding,0,3.47151,38475,-4.3023,0.16079481710000001,15.74761105,46.29533005,news,
242,likely,3,3.42754,659981,-3.8127,0.1608140824,31.20294189,24.63698578,expanded,
243,retail,0,3.8715900000000003,142035,2.6023,0.1609236929,36.0109787,61.28576279,expanded,
244,yields,0,3.50426,52606,4.0241,0.1609516193,10.00965977,66.07170105,news,
245,what,3,4.03437,2638120,0.6089,0.1610322512,40.51638031,23.20941544,news,
246,herbivores,2,3.9074699999999996,9481,-4.5395,0.1611083074,-49.36996078,36.2375679,expanded,
247,exceeding,0,4.02418,38311,-3.872,0.1614241854,14.80374527,40.53039551,news,
248,uncertainty,3,3.7240599999999997,86673,-0.7408,0.1614516389,7.464576244,-15.35556889,news,
249,debate,3,3.88288,263152,-2.7313,0.1616562103,25.28164291,6.763551235,sci,
250,resolve,4,3.60486,439423,-2.3181,0.1617128271,22.72059059,-25.51556396,news,
251,possible,3,3.46083,949179,2.2349,0.1618679882,30.79706001,11.6407671,news,
252,resolving,4,3.6510300000000004,72044,-2.7187,0.16192722980000002,22.5288372,-25.99248123,news,
253,make,3,4.00047,2388473,2.1045,0.1620146939,40.24863815,16.58204842,expanded,
254,earthworms,2,4.07864,6390,0.3385,0.1621371827,-57.03700638,29.45565033,news,
255,rates,0,3.31357,751803,1.5938,0.1621793745,5.176038265,58.3249588,expanded,
256,cut,0,3.71584,2176366,1.9652,0.1624689699,40.27835846,43.13724518,news,
257,move,3,3.63881,1999868,2.8618,0.1627916751,38.68166351,13.83650875,expanded,
258,share,0,3.3751300000000004,1084046,2.5256,0.1630415643,30.25881004,54.45693588,news,
259,consensus,3,3.6202699999999997,117534,0.8697,0.1640798185,24.40718079,4.306751251000001,news,
260,dropped,0,3.3522800000000004,250455,-3.5092,0.1641766814,22.28233528,62.19037628,expanded,
261,sectarian,4,4.1971,49793,-1.3509,0.1644703091,25.29211235,-43.71504211,news,
262,expectations,0,2.94787,156353,2.5392,0.1650057947,29.25845528,45.57305527,news,
263,revenue,0,3.64964,463050,-0.8902,0.16511851789999998,36.11869049,51.76709747,news,
264,sector,0,4.08939,1180179,4.9474,0.1652211315,9.734895706,23.95202255,news,
265,no,3,4.1820900000000005,9306740,-1.0884,0.1655825414,37.86585236,23.46007347,news,
266,agenda,3,3.6186300000000005,335878,-1.199,0.1660338511,25.64286423,4.924408913,news,
267,though,3,3.80153,1737649,4.305,0.16661302990000001,32.77156448,20.53766632,news,
268,current,3,3.1701900000000003,1643007,-4.0846,0.1667882817,19.77368164,22.01246071,news,
269,environmental,3,3.8268699999999995,216648,-1.2919,0.1668403655,-7.726880073999999,14.81241989,news,
270,escalating,4,3.5394400000000004,50184,0.6045,0.1668889169,15.19987679,-38.12204361,expanded,
271,decades,4,3.7292199999999998,324516,4.8104,0.167142229,35.89249039,-12.91641903,news,
272,differences,3,3.84478,157419,4.5175,0.16722551859999998,19.94162369,-25.04677582,news,
273,observed,3,3.9373699999999996,205547,-2.0094,0.1673636309,24.72091484,14.77544975,news,
274,weakening,0,4.06082,39228,4.0114,0.167676598,21.07683563,44.22237778,sci,
275,see,3,3.5623099999999996,3248044,3.2885,0.1677519592,38.65582275,17.5696907,expanded,
